section,item,value,unit,notes
model,layers,32,count,7B fixture
model,hidden,4096,elements,H
model,query_heads,32,count,GQA query heads
model,kv_heads,8,count,GQA KV heads
model,head_dim,128,elements,per head
compute,linear_macs_per_layer,177209344.000,macs,decode token
compute,attention_macs_per_layer,33554432.000,macs,context=4096
compute,total_decode_flops_per_token,13488881664.000,flops,linear plus attention
kv,fp16_capacity_context_1024,128.000,MiB,single session
kv,fp16_capacity_context_2048,256.000,MiB,single session
kv,fp16_capacity_context_4096,512.000,MiB,single session
kv,fp16_capacity_context_8192,1024.000,MiB,single session
decode_bytes,fp16_weight_gb,14.000,GB/token,weight stream
decode_bytes,fp16_kv_read_gb,0.537,GB/token,context=4096
decode_bytes,fp16_total_gb,14.537,GB/token,weight plus KV
bandwidth_limit,fp16_at_50_gbps,3.440,tokens/s,bandwidth-only upper bound
bandwidth_limit,fp16_at_100_gbps,6.879,tokens/s,bandwidth-only upper bound
bandwidth_limit,fp16_at_200_gbps,13.758,tokens/s,bandwidth-only upper bound
bandwidth_limit,fp16_at_600_gbps,41.274,tokens/s,bandwidth-only upper bound
bandwidth_limit,fp16_at_1000_gbps,68.791,tokens/s,bandwidth-only upper bound
bandwidth_limit,fp16_at_1600_gbps,110.065,tokens/s,bandwidth-only upper bound
decode_bytes,int8_weight_gb,7.000,GB/token,weight stream
decode_bytes,int8_kv_read_gb,0.537,GB/token,context=4096
decode_bytes,int8_total_gb,7.537,GB/token,weight plus KV
bandwidth_limit,int8_at_50_gbps,6.634,tokens/s,bandwidth-only upper bound
bandwidth_limit,int8_at_100_gbps,13.268,tokens/s,bandwidth-only upper bound
bandwidth_limit,int8_at_200_gbps,26.536,tokens/s,bandwidth-only upper bound
bandwidth_limit,int8_at_600_gbps,79.609,tokens/s,bandwidth-only upper bound
bandwidth_limit,int8_at_1000_gbps,132.681,tokens/s,bandwidth-only upper bound
bandwidth_limit,int8_at_1600_gbps,212.290,tokens/s,bandwidth-only upper bound
decode_bytes,int4_weight_gb,3.700,GB/token,weight stream
decode_bytes,int4_kv_read_gb,0.537,GB/token,context=4096
decode_bytes,int4_total_gb,4.237,GB/token,weight plus KV
bandwidth_limit,int4_at_50_gbps,11.801,tokens/s,bandwidth-only upper bound
bandwidth_limit,int4_at_100_gbps,23.602,tokens/s,bandwidth-only upper bound
bandwidth_limit,int4_at_200_gbps,47.205,tokens/s,bandwidth-only upper bound
bandwidth_limit,int4_at_600_gbps,141.614,tokens/s,bandwidth-only upper bound
bandwidth_limit,int4_at_1000_gbps,236.023,tokens/s,bandwidth-only upper bound
bandwidth_limit,int4_at_1600_gbps,377.637,tokens/s,bandwidth-only upper bound
